symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2017-02-02 00:00:00+00:00,13.13,13.13,13.13,13.13,0.0,11.290582813,11.290582813,11.290582813,11.290582813,0.0,0.0,1.0
NASDX,2017-02-03 00:00:00+00:00,13.17,13.17,13.17,13.17,0.0,11.3249791049,11.3249791049,11.3249791049,11.3249791049,0.0,0.0,1.0
NASDX,2017-02-04 00:00:00+00:00,13.19,13.19,13.19,13.19,0.0,11.3421772508,11.3421772508,11.3421772508,11.3421772508,0.0,0.0,1.0
NASDX,2017-02-05 00:00:00+00:00,13.19,13.19,13.19,13.19,0.0,11.3421772508,11.3421772508,11.3421772508,11.3421772508,0.0,0.0,1.0
NASDX,2017-02-06 00:00:00+00:00,13.19,13.19,13.19,13.19,0.0,11.3421772508,11.3421772508,11.3421772508,11.3421772508,0.0,0.0,1.0
NASDX,2017-02-07 00:00:00+00:00,13.23,13.23,13.23,13.23,0.0,11.3765735427,11.3765735427,11.3765735427,11.3765735427,0.0,0.0,1.0
NASDX,2017-02-08 00:00:00+00:00,13.26,13.26,13.26,13.26,0.0,11.4023707616,11.4023707616,11.4023707616,11.4023707616,0.0,0.0,1.0
NASDX,2017-02-09 00:00:00+00:00,13.31,13.31,13.31,13.31,0.0,11.4453661265,11.4453661265,11.4453661265,11.4453661265,0.0,0.0,1.0
NASDX,2017-02-10 00:00:00+00:00,13.34,13.34,13.34,13.34,0.0,11.4711633454,11.4711633454,11.4711633454,11.4711633454,0.0,0.0,1.0
NASDX,2017-02-11 00:00:00+00:00,13.42,13.42,13.42,13.42,0.0,11.5399559292,11.5399559292,11.5399559292,11.5399559292,0.0,0.0,1.0
NASDX,2017-02-12 00:00:00+00:00,13.42,13.42,13.42,13.42,0.0,11.5399559292,11.5399559292,11.5399559292,11.5399559292,0.0,0.0,1.0
NASDX,2017-02-13 00:00:00+00:00,13.42,13.42,13.42,13.42,0.0,11.5399559292,11.5399559292,11.5399559292,11.5399559292,0.0,0.0,1.0
NASDX,2017-02-14 00:00:00+00:00,13.46,13.46,13.46,13.46,0.0,11.5743522211,11.5743522211,11.5743522211,11.5743522211,0.0,0.0,1.0
NASDX,2017-02-15 00:00:00+00:00,13.55,13.55,13.55,13.55,0.0,11.6517438778,11.6517438778,11.6517438778,11.6517438778,0.0,0.0,1.0
NASDX,2017-02-16 00:00:00+00:00,13.54,13.54,13.54,13.54,0.0,11.6431448049,11.6431448049,11.6431448049,11.6431448049,0.0,0.0,1.0
NASDX,2017-02-17 00:00:00+00:00,13.6,13.6,13.6,13.6,0.0,11.6947392427,11.6947392427,11.6947392427,11.6947392427,0.0,0.0,1.0
NASDX,2017-02-18 00:00:00+00:00,13.67,13.67,13.67,13.67,0.0,11.7549327535,11.7549327535,11.7549327535,11.7549327535,0.0,0.0,1.0
NASDX,2017-02-19 00:00:00+00:00,13.67,13.67,13.67,13.67,0.0,11.7549327535,11.7549327535,11.7549327535,11.7549327535,0.0,0.0,1.0
NASDX,2017-02-20 00:00:00+00:00,13.67,13.67,13.67,13.67,0.0,11.7549327535,11.7549327535,11.7549327535,11.7549327535,0.0,0.0,1.0
NASDX,2017-02-21 00:00:00+00:00,13.67,13.67,13.67,13.67,0.0,11.7549327535,11.7549327535,11.7549327535,11.7549327535,0.0,0.0,1.0
NASDX,2017-02-22 00:00:00+00:00,13.67,13.67,13.67,13.67,0.0,11.7549327535,11.7549327535,11.7549327535,11.7549327535,0.0,0.0,1.0
NASDX,2017-02-23 00:00:00+00:00,13.62,13.62,13.62,13.62,0.0,11.7119373886,11.7119373886,11.7119373886,11.7119373886,0.0,0.0,1.0
NASDX,2017-02-24 00:00:00+00:00,13.65,13.65,13.65,13.65,0.0,11.7377346076,11.7377346076,11.7377346076,11.7377346076,0.0,0.0,1.0
NASDX,2017-02-25 00:00:00+00:00,13.66,13.66,13.66,13.66,0.0,11.7463336805,11.7463336805,11.7463336805,11.7463336805,0.0,0.0,1.0
NASDX,2017-02-26 00:00:00+00:00,13.66,13.66,13.66,13.66,0.0,11.7463336805,11.7463336805,11.7463336805,11.7463336805,0.0,0.0,1.0
NASDX,2017-02-27 00:00:00+00:00,13.66,13.66,13.66,13.66,0.0,11.7463336805,11.7463336805,11.7463336805,11.7463336805,0.0,0.0,1.0
NASDX,2017-02-28 00:00:00+00:00,13.62,13.62,13.62,13.62,0.0,11.7119373886,11.7119373886,11.7119373886,11.7119373886,0.0,0.0,1.0
NASDX,2017-03-01 00:00:00+00:00,13.77,13.77,13.77,13.77,0.0,11.8409234832,11.8409234832,11.8409234832,11.8409234832,0.0,0.0,1.0
NASDX,2017-03-02 00:00:00+00:00,13.71,13.71,13.71,13.71,0.0,11.7893290454,11.7893290454,11.7893290454,11.7893290454,0.0,0.0,1.0
NASDX,2017-03-03 00:00:00+00:00,13.73,13.73,13.73,13.73,0.0,11.8065271913,11.8065271913,11.8065271913,11.8065271913,0.0,0.0,1.0
NASDX,2017-03-04 00:00:00+00:00,13.7,13.7,13.7,13.7,0.0,11.7807299724,11.7807299724,11.7807299724,11.7807299724,0.0,0.0,1.0
NASDX,2017-03-05 00:00:00+00:00,13.7,13.7,13.7,13.7,0.0,11.7807299724,11.7807299724,11.7807299724,11.7807299724,0.0,0.0,1.0
NASDX,2017-03-06 00:00:00+00:00,13.7,13.7,13.7,13.7,0.0,11.7807299724,11.7807299724,11.7807299724,11.7807299724,0.0,0.0,1.0
NASDX,2017-03-07 00:00:00+00:00,13.67,13.67,13.67,13.67,0.0,11.7549327535,11.7549327535,11.7549327535,11.7549327535,0.0,0.0,1.0
NASDX,2017-03-08 00:00:00+00:00,13.69,13.69,13.69,13.69,0.0,11.7721308995,11.7721308995,11.7721308995,11.7721308995,0.0,0.0,1.0
NASDX,2017-03-09 00:00:00+00:00,13.7,13.7,13.7,13.7,0.0,11.7807299724,11.7807299724,11.7807299724,11.7807299724,0.0,0.0,1.0
NASDX,2017-03-10 00:00:00+00:00,13.76,13.76,13.76,13.76,0.0,11.8323244103,11.8323244103,11.8323244103,11.8323244103,0.0,0.0,1.0
NASDX,2017-03-11 00:00:00+00:00,13.78,13.78,13.78,13.78,0.0,11.8495225562,11.8495225562,11.8495225562,11.8495225562,0.0,0.0,1.0
NASDX,2017-03-12 00:00:00+00:00,13.78,13.78,13.78,13.78,0.0,11.8495225562,11.8495225562,11.8495225562,11.8495225562,0.0,0.0,1.0
NASDX,2017-03-13 00:00:00+00:00,13.78,13.78,13.78,13.78,0.0,11.8495225562,11.8495225562,11.8495225562,11.8495225562,0.0,0.0,1.0
NASDX,2017-03-14 00:00:00+00:00,13.75,13.75,13.75,13.75,0.0,11.8237253373,11.8237253373,11.8237253373,11.8237253373,0.0,0.0,1.0
NASDX,2017-03-15 00:00:00+00:00,13.83,13.83,13.83,13.83,0.0,11.8925179211,11.8925179211,11.8925179211,11.8925179211,0.0,0.0,1.0
NASDX,2017-03-16 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.8839188481,11.8839188481,11.8839188481,11.8839188481,0.0,0.0,1.0
NASDX,2017-03-17 00:00:00+00:00,13.81,13.81,13.81,13.81,0.0,11.8753197751,11.8753197751,11.8753197751,11.8753197751,0.0,0.0,1.0
NASDX,2017-03-18 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.8839188481,11.8839188481,11.8839188481,11.8839188481,0.0,0.0,1.0
NASDX,2017-03-19 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.8839188481,11.8839188481,11.8839188481,11.8839188481,0.0,0.0,1.0
NASDX,2017-03-20 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.8839188481,11.8839188481,11.8839188481,11.8839188481,0.0,0.0,1.0
NASDX,2017-03-21 00:00:00+00:00,13.62,13.62,13.62,13.62,0.0,11.7119373886,11.7119373886,11.7119373886,11.7119373886,0.0,0.0,1.0
NASDX,2017-03-22 00:00:00+00:00,13.71,13.71,13.71,13.71,0.0,11.7893290454,11.7893290454,11.7893290454,11.7893290454,0.0,0.0,1.0
NASDX,2017-03-23 00:00:00+00:00,13.68,13.68,13.68,13.68,0.0,11.7635318265,11.7635318265,11.7635318265,11.7635318265,0.0,0.0,1.0
NASDX,2017-03-24 00:00:00+00:00,13.7,13.7,13.7,13.7,0.0,11.7807299724,11.7807299724,11.7807299724,11.7807299724,0.0,0.0,1.0
NASDX,2017-03-25 00:00:00+00:00,13.73,13.73,13.73,13.73,0.0,11.8065271913,11.8065271913,11.8065271913,11.8065271913,0.0,0.0,1.0
NASDX,2017-03-26 00:00:00+00:00,13.73,13.73,13.73,13.73,0.0,11.8065271913,11.8065271913,11.8065271913,11.8065271913,0.0,0.0,1.0
NASDX,2017-03-27 00:00:00+00:00,13.73,13.73,13.73,13.73,0.0,11.8065271913,11.8065271913,11.8065271913,11.8065271913,0.0,0.0,1.0
NASDX,2017-03-28 00:00:00+00:00,13.81,13.81,13.81,13.81,0.0,11.8753197751,11.8753197751,11.8753197751,11.8753197751,0.0,0.0,1.0
NASDX,2017-03-29 00:00:00+00:00,13.86,13.86,13.86,13.86,0.0,11.91831514,11.91831514,11.91831514,11.91831514,0.0,0.0,1.0
NASDX,2017-03-30 00:00:00+00:00,13.89,13.89,13.89,13.89,0.0,11.9441123589,11.9441123589,11.9441123589,11.9441123589,0.0,0.0,1.0
NASDX,2017-03-31 00:00:00+00:00,13.86,13.86,13.86,13.86,0.0,11.9357712581,11.9357712581,11.9357712581,11.9357712581,0.0,0.0203,1.0
NASDX,2017-04-01 00:00:00+00:00,13.84,13.84,13.84,13.84,0.0,11.918547923,11.918547923,11.918547923,11.918547923,0.0,0.0,1.0
NASDX,2017-04-02 00:00:00+00:00,13.84,13.84,13.84,13.84,0.0,11.918547923,11.918547923,11.918547923,11.918547923,0.0,0.0,1.0
NASDX,2017-04-03 00:00:00+00:00,13.84,13.84,13.84,13.84,0.0,11.918547923,11.918547923,11.918547923,11.918547923,0.0,0.0,1.0
